Nombre,Habilidades,Resistance vs Bug,Resistance vs Dark,Resistance vs Dragon,Resistance vs Electric,Resistance vs Fairy,Resistance vs Fighting,Resistance vs Fire,Resistance vs Flying,Resistance vs Ghost,Resistance vs Grass,Resistance vs Ground,Resistance vs Ice,Resistance vs Normal,Resistance vs Poison,Resistance vs Psychic,Resistance vs Rock,Resistance vs Steel,Resistance vs Water,Ataque,total_estadisticas,ratio_captura,Defensa,altura,PS,id_pokemon,ataque_especial,defensa_especial,Velocidad,Tipo 1,Tipo 2,peso,generacion,es_legendario
Bulbasaur,"Overgrow, Chlorophyll",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,318,45.0,49,0.7,45,1,65,65,45,Grass,Poison,6.9,1,0
Ivysaur,"Overgrow, Chlorophyll",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,405,45.0,63,1.0,60,2,80,80,60,Grass,Poison,13.0,1,0
Venusaur,"Overgrow, Chlorophyll",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,625,45.0,123,2.0,80,3,122,120,80,Grass,Poison,100.0,1,0
Charmander,"Blaze, Solar Power",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,309,45.0,43,0.6,39,4,60,50,65,Fire,None,8.5,1,0
Charmeleon,"Blaze, Solar Power",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,405,45.0,58,1.1,58,5,80,65,80,Fire,None,19.0,1,0
Charizard,"Blaze, Solar Power",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,634,45.0,78,1.7,78,6,159,115,100,Fire,Flying,90.5,1,0
Squirtle,"Torrent, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,314,45.0,65,0.5,44,7,50,64,43,Water,None,9.0,1,0
Wartortle,"Torrent, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,405,45.0,80,1.0,59,8,65,80,58,Water,None,22.5,1,0
Blastoise,"Torrent, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,630,45.0,120,1.6,79,9,135,115,78,Water,None,85.5,1,0
Caterpie,"Shield Dust, Run Away",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,195,255.0,35,0.3,45,10,20,20,45,Bug,None,2.9,1,0
