Nombre,Habilidades,Resistencia vs Insecto,Resistencia vs Siniestro,Resistencia vs Dragón,Resistencia vs Electrico,Resistencia vs Hada,Resistencia vs Lucha,Resistencia vs Fuego,Resistencia vs Volador,Resistencia vs Fantasma,Resistencia vs Planta,Resistencia vs Tierra,Resistencia vs Hielo,Resistencia vs Normal,Resistencia vs Veneno,Resistencia vs Psiquico,Resistencia vs Roca,Resistencia vs Acero,Resistencia vs Agua,Ataque,total_estadisticas,ratio_captura,Defensa,altura,PS,id_pokemon,ataque_especial,defensa_especial,Velocidad,Tipo 1,Tipo 2,peso,generacion,es_legendario
Bulbasaur,"Espesura, Clorofila",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,318,45.0,49,0.7,45,1,65,65,45,Planta,Veneno,6.9,1,0
Ivysaur,"Espesura, Clorofila",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,405,45.0,63,1.0,60,2,80,80,60,Planta,Veneno,13.0,1,0
Venusaur,"Espesura, Clorofila",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,625,45.0,123,2.0,80,3,122,120,80,Planta,Veneno,100.0,1,0
Charmander,"Mar Llamas, Solar Power",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,309,45.0,43,0.6,39,4,60,50,65,Fuego,,8.5,1,0
Charmeleon,"Mar Llamas, Solar Power",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,405,45.0,58,1.1,58,5,80,65,80,Fuego,,19.0,1,0
Charizard,"Mar Llamas, Solar Power",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,634,45.0,78,1.7,78,6,159,115,100,Fuego,Volador,90.5,1,0
Squirtle,"Torrente, Cura Lluvia",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,314,45.0,65,0.5,44,7,50,64,43,Agua,,9.0,1,0
Wartortle,"Torrente, Cura Lluvia",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,405,45.0,80,1.0,59,8,65,80,58,Agua,,22.5,1,0
Blastoise,"Torrente, Cura Lluvia",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,630,45.0,120,1.6,79,9,135,115,78,Agua,,85.5,1,0
Caterpie,"Polvo Escudo, Fuga",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,195,255.0,35,0.3,45,10,20,20,45,Bicho,,2.9,1,0
