Nombre,Habilidades,Resistencia vs Insecto,Resistencia vs Siniestro,Resistencia vs Dragón,Resistencia vs Electrico,Resistencia vs Hada,Resistencia vs Lucha,Resistencia vs Fuego,Resistencia vs Volador,Resistencia vs Fantasma,Resistencia vs Planta,Resistencia vs Tierra,Resistencia vs Hielo,Resistencia vs Normal,Resistencia vs Veneno,Resistencia vs Psiquico,Resistencia vs Roca,Resistencia vs Acero,Resistencia vs Agua,Ataque,Pasos Eclosión,Felicidad Base,Total Estadísticas,Ratio de Captura,Categoría,Defensa,Crecimiento Experiencia,Altura (m),PS,Porcentaje Macho,Número Pokedex,Ataque Especial,Defensa Especial,Velocidad,Tipo 1,Tipo 2,Peso (kg),Generación,Es Legendario
Bulbasaur,"Espesura, Clorofila",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,70,318,45,Semilla,49,1059860,0.7,45,88.1,1,65,65,45,Planta,Veneno,6.9,1,0
Ivysaur,"Espesura, Clorofila",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,70,405,45,Semilla,63,1059860,1.0,60,88.1,2,80,80,60,Planta,Veneno,13.0,1,0
Venusaur,"Espesura, Clorofila",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,45,Semilla,123,1059860,2.0,80,88.1,3,122,120,80,Planta,Veneno,100.0,1,0
Charmander,"Mar Llamas, Poder Solar",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45,Lagarto,43,1059860,0.6,39,88.1,4,60,50,65,Fuego,,8.5,1,0
Charmeleon,"Mar Llamas, Poder Solar",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45,Llama,58,1059860,1.1,58,88.1,5,80,65,80,Fuego,,19.0,1,0
Charizard,"Mar Llamas, Poder Solar",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,45,Llama,78,1059860,1.7,78,88.1,6,159,115,100,Fuego,Volador,90.5,1,0
Squirtle,"Torrente, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,314,45,Tortuga Joven,65,1059860,0.5,44,88.1,7,50,64,43,Agua,,9.0,1,0
Wartortle,"Torrente, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,70,405,45,Tortuga,80,1059860,1.0,59,88.1,8,65,80,58,Agua,,22.5,1,0
Blastoise,"Torrente, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,45,Marisco,120,1059860,1.6,79,88.1,9,135,115,78,Agua,,85.5,1,0
Caterpie,"Polvo Escudo, Run Away",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,195,255,Gusano,35,1000000,0.3,45,50.0,10,20,20,45,Bicho,,2.9,1,0
